n_stations,m,CWmin,data_rate_Mbps,payload_bytes,throughput
5,3,32,6.0,1000,526667879967.0190
10,3,32,6.0,1000,490560856624.5320
15,3,32,6.0,1000,463878867965.4865
20,3,32,6.0,1000,442666225186.6458
25,3,32,6.0,1000,424869503777.3736
30,3,32,6.0,1000,409406533593.2141
35,3,32,6.0,1000,395645644829.7125
40,3,32,6.0,1000,383186357400.2817
45,3,32,6.0,1000,371758818284.0228
50,3,32,6.0,1000,361172106726.3193
5,5,32,6.0,1000,526938257242.9998
10,5,32,6.0,1000,493572651314.0521
15,5,32,6.0,1000,471244491410.4818
20,5,32,6.0,1000,454760301695.8817
25,5,32,6.0,1000,441655640833.6147
30,5,32,6.0,1000,430726448933.8981
35,5,32,6.0,1000,421311095424.0973
40,5,32,6.0,1000,413010232661.3964
45,5,32,6.0,1000,405565033872.4973
50,5,32,6.0,1000,398798319943.3791
5,3,128,6.0,1000,534218635863.9652
10,3,128,6.0,1000,536530160185.5175
15,3,128,6.0,1000,528498672177.5366
20,3,128,6.0,1000,519140090872.2573
25,3,128,6.0,1000,510001823122.7012
30,3,128,6.0,1000,501417633169.0920
35,3,128,6.0,1000,493426262389.4401
40,3,128,6.0,1000,485986528028.6405
45,3,128,6.0,1000,479039352683.9517
50,3,128,6.0,1000,472526207187.0671
5,3,32,6.0,2000,562310886465.0070
10,3,32,6.0,2000,520884873519.1413
15,3,32,6.0,2000,491356731925.7070
20,3,32,6.0,2000,468165663522.6691
25,3,32,6.0,2000,448836126763.0169
30,3,32,6.0,2000,432113033296.2070
35,3,32,6.0,2000,417276932443.8323
40,3,32,6.0,2000,403876568969.4827
45,3,32,6.0,2000,391610045476.3465
50,3,32,6.0,2000,380264878378.4479
5,5,32,6.0,2000,562648526747.4674
10,5,32,6.0,2000,524277894466.6285
15,5,32,6.0,2000,499483713324.6260
20,5,32,6.0,2000,481386521904.9172
25,5,32,6.0,2000,467085943321.6045
30,5,32,6.0,2000,455205657180.2988
35,5,32,6.0,2000,444999558480.2684
40,5,32,6.0,2000,436020923700.1432
45,5,32,6.0,2000,427981794359.7842
50,5,32,6.0,2000,420685835706.9417
5,3,128,6.0,2000,585586676490.4880
10,3,128,6.0,2000,578336275315.1497
15,3,128,6.0,2000,566227571192.0857
20,3,128,6.0,2000,554390136971.3589
25,3,128,6.0,2000,543490070677.5697
30,3,128,6.0,2000,533541953752.3129
35,3,128,6.0,2000,524437191301.9965
40,3,128,6.0,2000,516055522952.5086
45,3,128,6.0,2000,508290886593.8355
50,3,128,6.0,2000,501054646707.1550
5,3,32,6.0,4000,581583563541.2760
10,3,32,6.0,4000,537107205371.3697
15,3,32,6.0,4000,505985386302.6239
20,3,32,6.0,4000,481698798991.9924
25,3,32,6.0,4000,461526388294.6906
30,3,32,6.0,4000,444113824069.8087
35,3,32,6.0,4000,428691701685.0382
40,3,32,6.0,4000,414780045466.2531
45,3,32,6.0,4000,402058915377.1462
50,3,32,6.0,4000,390303731250.3317
5,5,32,6.0,4000,581960783703.4409
10,5,32,6.0,4000,540716232025.1377
15,5,32,6.0,4000,514537340490.1974
20,5,32,6.0,4000,495543307530.4070
25,5,32,6.0,4000,480581744386.1053
30,5,32,6.0,4000,468177981892.7114
35,5,32,6.0,4000,457538047083.4108
40,5,32,6.0,4000,448188509515.7389
45,5,32,6.0,4000,439825052165.6183
50,5,32,6.0,4000,432240616649.0732
5,3,128,6.0,4000,614724087955.6292
10,3,128,6.0,4000,601348345337.3470
15,3,128,6.0,4000,586762654472.3988
20,3,128,6.0,4000,573457984126.1530
25,3,128,6.0,4000,561532122293.5061
30,3,128,6.0,4000,550798950108.3168
35,3,128,6.0,4000,541058792661.1830
40,3,128,6.0,4000,532143134380.6503
45,3,128,6.0,4000,523917536126.9154
50,3,128,6.0,4000,516275334590.5790
5,3,32,9.0,1000,754068321819.1029
10,3,32,9.0,1000,705980958955.5731
15,3,32,9.0,1000,669107762373.4921
20,3,32,9.0,1000,639437614975.7980
25,3,32,9.0,1000,614385539475.8524
30,3,32,9.0,1000,592528043791.0723
35,3,32,9.0,1000,573017902585.8217
40,3,32,9.0,1000,555311899994.3208
45,3,32,9.0,1000,539041298090.6987
50,3,32,9.0,1000,523943829902.4051
5,5,32,9.0,1000,754394632040.6470
10,5,32,9.0,1000,710068023768.4139
15,5,32,9.0,1000,679316272781.8839
20,5,32,9.0,1000,656354445866.3611
25,5,32,9.0,1000,637991885039.3756
30,5,32,9.0,1000,622619404543.3657
35,5,32,9.0,1000,609340122229.1433
40,5,32,9.0,1000,597608203814.2184
45,5,32,9.0,1000,587067919027.5348
